TAM_MP1,TIME_MP1
100,0.0144347
250,0.0986581
500,0.717144
750,3.07803
1000,10.1169
100,0.0087557
250,0.0882788
500,0.776714
750,3.17798
1000,8.7296
100,0.00478332
250,0.0875353
500,0.786912
750,3.28545
1000,8.68855
100,0.00548629
250,0.0940677
500,0.793572
750,3.21249
1000,8.48852
100,0.00570521
250,0.0857079
500,0.780278
750,3.10874
1000,8.51242
100,0.00740631
250,0.0894577
500,0.76505
750,3.08852
1000,8.37793
100,0.00827027
250,0.0890847
500,0.778634
750,3.0963
1000,8.52339
100,0.00481621
250,0.09201
500,0.758815
750,3.08279
1000,8.67109
100,0.00499088
250,0.0883178
500,0.788154
750,3.23729
1000,8.51816
100,0.00864258
250,0.0907057
500,0.76404
750,3.14616
1000,8.89025
100,0.00557494
250,0.0905995
500,0.763217
750,3.1938
1000,8.55491
100,0.0108593
250,0.0887347
500,0.761268
750,3.09056
1000,8.88547
100,0.00544147
250,0.0884013
500,0.763526
750,3.1085
1000,8.82824
100,0.0080074
250,0.0879227
500,0.776881
750,3.2111
1000,8.50562
100,0.00648029
250,0.0840421
500,0.779115
750,3.13763
1000,8.46325
100,0.00749968
250,0.0891809
500,0.791625
750,3.30729
1000,8.88606
100,0.00531428
250,0.0860186
500,0.763803
750,3.06703
1000,8.66879
100,0.00945687
250,0.0920307
500,0.771835
750,3.27372
1000,8.7633
100,0.00810512
250,0.091258
500,0.772563
750,3.30905
1000,8.84013
100,0.00476282
250,0.0922113
500,0.76437
750,3.35205
1000,8.74651
100,0.00461463
250,0.0873826
500,0.782655
750,3.02234
1000,9.04536
100,0.0117411
250,0.110401
500,1.23731
750,3.78486
1000,8.44224
100,0.0045772
250,0.0871647
500,0.785142
750,3.22755
1000,8.53633
100,0.00453387
250,0.0909529
500,0.785674
750,3.08068
1000,8.46823
100,0.00549968
250,0.093652
500,0.793889
750,3.12609
1000,8.91785
100,0.00513451
250,0.0866173
500,0.782915
750,3.2194
1000,8.78367
100,0.00505522
250,0.0848524
500,0.796873
750,3.22737
1000,8.75875
100,0.00766379
250,0.113969
500,0.795409
750,3.09633
1000,8.54858
100,0.0053427
250,0.0848398
500,0.76451
750,3.14233
1000,8.47949
100,0.00462273
250,0.0896103
500,0.768022
750,3.08885
1000,8.71088
100,0.00714543
250,0.0887367
500,0.783306
750,3.16629
1000,8.77785
