TAM_MP3,TIME_MP3
100,0.0259463
250,0.291248
500,2.05312
750,6.87517
1000,24.6444
100,0.016518
250,0.220553
500,2.056
750,7.62922
1000,23.0974
100,0.0179366
250,0.236998
500,2.01474
750,7.00897
1000,25.347
100,0.0191833
250,0.283207
500,2.60477
750,8.97057
1000,24.8059
100,0.0160458
250,0.23876
500,2.07707
750,8.27967
1000,21.9587
100,0.0171964
250,0.248633
500,2.32894
750,8.43841
1000,22.748
100,0.0178263
250,0.246377
500,2.00522
750,8.32114
1000,23.8822
100,0.0244661
250,0.230345
500,2.06272
750,7.98652
1000,24.8696
100,0.0196362
250,0.231589
500,1.97796
750,9.74198
1000,23.6028
100,0.0156949
250,0.223715
500,1.85907
750,6.65755
1000,20.4031
100,0.01897
250,0.222055
500,1.90153
750,6.99929
1000,20.4093
100,0.0165459
250,0.21231
500,1.96831
750,6.36514
1000,18.9398
100,0.0153718
250,0.212466
500,1.74591
750,6.20313
1000,19.2219
100,0.0159228
250,0.212832
500,1.73079
750,6.47719
1000,18.8926
100,0.0160948
250,0.209112
500,1.72712
750,6.19196
1000,20.173
100,0.0153553
250,0.227617
500,1.9273
750,6.81535
1000,20.1334
100,0.0156287
250,0.217967
500,1.89301
750,6.65352
1000,20.3385
100,0.0179085
250,0.220537
500,1.80895
750,6.44696
1000,20.1613
100,0.0159702
250,0.220788
500,1.76349
750,6.58235
1000,21.2729
100,0.0179717
250,0.22156
500,1.77501
750,7.3222
1000,20.3095
100,0.0164719
250,0.216274
500,1.79036
750,7.16787
1000,19.5307
100,0.0152873
250,0.216311
500,1.79044
750,6.43714
1000,19.5367
100,0.0176266
250,0.225108
500,1.83713
750,6.47203
1000,19.5407
100,0.0156359
250,0.220531
500,1.77629
750,6.44773
1000,19.4835
100,0.0165129
250,0.218475
500,1.81642
750,6.37479
1000,20.2023
100,0.0200605
250,0.2085
500,1.79455
750,6.5141
1000,20.8637
100,0.0174747
250,0.217522
500,1.76891
750,6.54434
1000,19.6589
100,0.0157351
250,0.225509
500,1.79868
750,6.49874
1000,19.5366
100,0.0207449
250,0.216276
500,1.82743
750,6.5425
1000,19.6198
100,0.0165025
250,0.224232
500,1.84292
750,6.51672
1000,19.6028
100,0.0153388
250,0.223618
500,1.85942
750,6.4029
1000,19.5852
